high_precision_time,system_time,chrony_last_ntp_sync_time,chrony_system_time_offset,chrony_last_offset,chrony_frequency_drift_ppm,chrony_residual_freq_ppm,chrony_skew,chrony_root_delay,chrony_root_dispersion,cpu_temp,cpu_freq,ntp_time,ntp_rtt,ntp_offset,ntp_delay,network_rtt,power,cpu_load
45569.54512,1742363401,Wed Mar 19 05,-0.00145408,0.005772679,-85.721,89.551,0.129,0.028867561,0.020887561,54.65625,1203.163172,1742363401,0.012508183,-0.000383854,0.000753403,8.77,200,0.2
45571.54522,1742363403,Wed Mar 19 05,-0.001625541,0.005772679,-85.721,89.551,0.129,0.028867561,0.021068957,54.71875,1202.502266,1742363403,0.013007186,0.000611782,0.002781868,8.79,200,0.1
45573.54516,1742363405,Wed Mar 19 05,-0.001796975,0.005772679,-85.721,89.551,0.129,0.028867561,0.021250324,54.625,1200.296766,1742363405,0.01222364,-0.000400066,0.000779152,8.8,200,0.1
45575.54521,1742363407,Wed Mar 19 05,-0.001968359,0.005772679,-85.721,89.551,0.129,0.028867561,0.021431638,54.65625,1228.241906,1742363407,0.014584348,0.000618935,0.002783775,8.69,200,0.1
45577.54518,1742363409,Wed Mar 19 05,-0.002139847,0.005772679,-85.721,89.551,0.129,0.028867561,0.021613063,54.6875,1200.015734,1742363409,0.014332412,0.000645876,0.002810001,8.87,200,0.1
45579.54518,1742363411,Wed Mar 19 05,-0.002311293,0.005772679,-85.721,89.551,0.129,0.028867561,0.021794444,54.6875,1204.695375,1742363411,0.01443782,0.000614166,0.002791405,8.7,200,0.1
45581.5451,1742363413,Wed Mar 19 05,-0.002482734,0.005772679,-85.721,89.551,0.129,0.028867561,0.021975817,54.6875,1210.923125,1742363413,0.014705403,0.000651598,0.002802372,8.81,200,0.1
45583.54522,1742363415,Wed Mar 19 05,-0.002654188,0.005772679,-85.721,89.551,0.129,0.028867561,0.022157207,54.6875,1206.288813,1742363415,0.012378371,-0.000350237,0.000815868,8.68,200,0.1
45585.54512,1742363417,Wed Mar 19 05,-0.002825619,0.005772679,-85.721,89.551,0.129,0.028867561,0.022338569,54.65625,1200.060578,1742363417,0.011219948,-0.00033927,0.000833035,8.67,200,0.1
45587.54517,1742363419,Wed Mar 19 05,-0.002997072,0.005772679,-85.721,89.551,0.129,0.028867561,0.022519957,54.625,1199.988047,1742363419,0.013006225,0.000603199,0.002746582,8.78,200,0.1
45589.54516,1742363421,Wed Mar 19 05,-0.003168505,0.005772679,-85.721,89.551,0.129,0.028867561,0.022701325,54.65625,1209.461188,1742363421,0.014368322,0.000623226,0.00276947,8.75,200,0.1
45591.54519,1742363423,Wed Mar 19 05,-0.00333996,0.005772679,-85.721,89.551,0.129,0.028867561,0.022882713,54.78125,1200.030734,1742363423,0.01349537,0.00082612,0.003138065,8.83,200,0.1
45593.54514,1742363425,Wed Mar 19 05,-0.003511396,0.005772679,-85.721,89.551,0.129,0.028867561,0.023064082,54.65625,1199.939531,1742363425,0.012951537,0.000636339,0.002790928,8.76,200,0.1
45595.54516,1742363427,Wed Mar 19 05,-0.003682837,0.005772679,-85.721,89.551,0.129,0.028867561,0.023245458,54.75,1209.321016,1742363427,0.013193849,0.000654459,0.002816677,8.76,200,0.1
45597.54511,1742363429,Wed Mar 19 05,-0.003854284,0.005772679,-85.721,89.551,0.129,0.028867561,0.023426838,54.6875,1214.014016,1742363429,0.014278045,0.000629187,0.002815723,8.82,200,0.1
45599.54515,1742363431,Wed Mar 19 05,-0.004025723,0.005772679,-85.721,89.551,0.129,0.028867561,0.023608211,54.65625,1203.088766,1742363431,0.013110638,0.000658512,0.002841949,8.82,200,0.1
45601.54514,1742363433,Wed Mar 19 05,-0.004197181,0.005772679,-85.721,89.551,0.129,0.028867561,0.023789605,54.71875,1200.011422,1742363433,0.014544426,0.000631094,0.002815723,8.75,200,0.1
45603.5452,1742363435,Wed Mar 19 05,-0.004368608,0.005772679,-85.721,89.551,0.129,0.028867561,0.023970965,54.625,1204.544016,1742363435,0.014395006,0.000630617,0.002783298,8.76,200,0.1
